GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
0400000US31,31,Nebraska,744159,3947,469797,5176,369426,5544,274362,5541,5.7,0.4,3.5,0.4,1.0,0.2,10.9,1.0,4.9,0.3,2.2,0.3,1.0,0.2,10.2,0.7,10.4,0.4,6.0,0.5,3.8,0.4,18.5,1.0,10.2,0.5,8.0,0.5,6.2,0.4,14.4,0.8,14.1,0.5,12.2,0.6,11.0,0.7,17.0,0.9,19.3,0.7,20.9,0.8,21.1,0.9,15.8,1.0,13.2,0.5,16.4,0.6,18.6,0.7,6.8,0.6,13.9,0.5,19.0,0.7,22.9,0.8,4.3,0.6,4.4,0.3,6.2,0.4,7.6,0.5,1.3,0.3,3.9,0.3,5.5,0.4,6.8,0.5,0.9,0.2,54996,830,71039,893,81975,1043,31940,755,72308,1160,88112,1666,99635,1838,42469,1047,32.3,,,,,,,,,,32.4,,,,,,,,,,,,30.9,
0400000US32,32,Nevada,1042065,7714,659355,8822,456740,8221,382710,9019,6.4,0.3,4.6,0.5,1.9,0.3,11.1,0.8,4.6,0.3,2.8,0.3,1.5,0.3,8.5,0.7,10.3,0.4,7.9,0.5,5.0,0.5,15.8,0.9,11.1,0.5,9.3,0.5,7.3,0.6,14.9,1.0,14.9,0.5,13.8,0.7,12.6,0.8,16.4,1.0,19.1,0.6,20.5,0.7,21.5,1.0,15.7,0.9,13.1,0.5,15.3,0.7,17.4,0.9,7.9,0.8,12.4,0.5,15.5,0.6,19.3,0.9,6.3,0.6,4.3,0.3,5.4,0.4,7.1,0.5,1.7,0.4,3.8,0.2,4.9,0.4,6.5,0.5,1.7,0.3,52431,978,63206,1511,75197,1364,34734,966,70576,1089,80300,1279,93305,1618,49874,1768,35.3,,,,,,,,,,36.0,,,,,,,,,,,,32.1,
0400000US33,33,New Hampshire,517615,4643,341473,5844,268944,6571,176142,5400,4.0,0.5,2.3,0.4,0.6,0.2,8.8,1.2,3.4,0.4,1.3,0.3,0.6,0.2,7.8,1.0,8.3,0.6,4.8,0.5,2.9,0.5,15.8,1.5,7.5,0.6,5.4,0.7,4.1,0.6,11.8,1.1,11.9,0.7,10.2,0.8,8.6,0.8,16.2,1.5,17.8,0.9,17.5,1.0,16.8,1.0,17.5,1.6,14.6,0.8,16.9,1.0,17.9,1.1,9.5,1.1,17.4,0.8,21.8,1.0,25.1,1.1,7.7,1.0,7.8,0.5,10.2,0.8,12.2,0.9,2.5,0.6,7.3,0.6,9.5,0.8,11.3,0.9,2.4,0.6,70303,1254,85873,1401,96965,2305,40044,1322,89735,1744,105754,2528,117884,2812,54127,2189,31.9,,,,,,,,,,31.4,,,,,,,,,,,,31.2,
0400000US34,34,New Jersey,3187963,9239,2205886,15078,1632061,12432,982077,12463,5.7,0.2,3.5,0.2,1.3,0.2,11.7,0.5,3.6,0.1,1.9,0.1,1.0,0.1,7.7,0.4,8.2,0.2,5.7,0.3,3.3,0.2,14.5,0.5,7.7,0.3,6.4,0.3,4.7,0.3,11.0,0.5,10.5,0.3,9.4,0.3,7.5,0.3,13.4,0.5,15.6,0.3,14.9,0.3,13.5,0.4,16.9,0.6,12.2,0.3,13.1,0.4,13.6,0.4,9.7,0.4,17.0,0.3,20.1,0.4,23.4,0.5,9.2,0.4,8.7,0.3,11.0,0.3,13.5,0.4,2.9,0.3,10.9,0.2,14.1,0.3,18.1,0.4,3.0,0.3,72222,610,90245,863,108752,1872,40142,715,101061,820,118641,1038,138612,1289,57515,1104,39.0,,,,,,,,,,40.4,,,,,,,,,,,,34.2,
0400000US35,35,New Mexico,761797,5816,485404,7751,341876,6339,276393,7090,9.8,0.6,5.8,0.6,2.1,0.3,18.7,1.3,6.4,0.5,3.9,0.5,2.6,0.5,11.0,1.0,12.8,0.5,10.6,0.8,7.7,0.7,17.6,1.2,11.3,0.6,10.4,0.7,9.0,0.8,12.9,1.0,13.7,0.6,14.0,0.6,12.3,0.8,13.1,1.0,17.1,0.7,19.0,1.0,20.3,1.2,13.0,0.9,11.0,0.5,13.5,0.8,15.9,1.0,5.9,0.7,11.0,0.6,13.7,0.8,17.7,1.0,5.5,0.7,3.9,0.4,5.3,0.5,6.9,0.7,1.2,0.3,3.0,0.3,4.0,0.4,5.3,0.6,1.1,0.3,45382,870,56207,1427,69577,2091,26838,1017,62747,1168,74126,1767,87683,2226,40107,1527,32.6,,,,,,,,,,33.8,,,,,,,,,,,,28.7,
0400000US36,36,New York,7233694,15840,4561118,19602,3156019,19016,2672576,19199,7.8,0.2,4.8,0.2,1.7,0.1,14.0,0.3,5.0,0.1,3.3,0.2,1.7,0.1,8.4,0.3,9.5,0.2,7.2,0.2,4.7,0.2,14.0,0.4,8.6,0.2,7.8,0.2,5.9,0.2,10.3,0.3,11.4,0.2,10.8,0.2,9.4,0.3,12.6,0.3,16.3,0.2,16.7,0.3,16.2,0.3,15.4,0.3,11.8,0.2,13.1,0.2,14.4,0.3,8.9,0.3,14.7,0.2,17.7,0.3,21.3,0.3,8.8,0.3,6.9,0.1,8.6,0.2,11.1,0.2,3.4,0.2,8.1,0.1,10.1,0.2,13.6,0.3,4.1,0.2,60850,306,73854,695,92069,655,38111,650,89908,651,104644,965,125566,1367,60832,872,41.1,,,,,,,,,,43.2,,,,,,,,,,,,35.8,
0400000US37,37,North Carolina,3843745,15042,2506215,19366,1829450,17628,1337530,16130,7.4,0.2,4.7,0.2,1.5,0.1,13.8,0.5,6.1,0.2,3.4,0.2,1.5,0.2,11.8,0.4,11.9,0.3,9.1,0.3,5.9,0.3,17.8,0.6,11.5,0.3,10.0,0.3,7.7,0.3,14.7,0.5,14.7,0.3,14.3,0.4,13.6,0.4,15.4,0.4,17.8,0.3,19.4,0.4,20.9,0.5,13.7,0.5,11.4,0.2,13.9,0.3,16.6,0.4,6.0,0.4,11.2,0.2,14.6,0.3,18.3,0.4,4.2,0.3,3.9,0.1,5.2,0.2,6.8,0.3,1.3,0.2,4.0,0.1,5.4,0.2,7.2,0.3,1.3,0.2,47830,521,60074,480,73222,813,29387,516,67516,603,80098,765,94478,916,41489,709,33.4,,,,,,,,,,34.0,,,,,,,,,,,,31.1,
0400000US38,38,North Dakota,313475,3584,188210,4539,150297,4137,125265,3916,5.5,0.5,3.2,0.6,1.1,0.3,10.1,1.0,5.0,0.6,2.1,0.5,1.0,0.3,9.7,1.2,8.8,0.7,5.1,0.8,3.5,0.6,15.3,1.5,9.4,0.8,6.4,1.0,4.7,0.7,14.2,1.6,13.9,1.0,11.7,1.2,10.4,1.1,16.7,1.5,17.1,0.9,18.1,1.3,17.8,1.3,15.9,1.7,13.4,0.9,16.8,1.2,18.6,1.3,7.7,1.2,15.9,1.0,21.7,1.4,25.5,1.4,6.2,1.0,5.9,0.6,7.8,0.8,9.0,1.0,2.5,0.8,5.1,0.5,7.1,0.8,8.5,1.0,1.8,0.5,60557,1661,79642,2534,90334,1880,35427,1344,81460,2314,98585,2783,110400,3417,51849,3336,33.3,,,,,,,,,,33.5,,,,,,,,,,,,32.3,
0400000US39,39,Ohio,4606655,12584,2922095,18959,2123886,16663,1684560,16179,7.6,0.2,4.8,0.2,1.3,0.1,13.8,0.4,5.3,0.2,2.9,0.1,1.2,0.1,9.8,0.3,11.0,0.2,7.4,0.3,4.0,0.2,17.9,0.4,10.7,0.2,8.7,0.2,6.6,0.2,14.7,0.4,14.1,0.2,13.4,0.3,12.1,0.3,15.4,0.5,18.5,0.3,20.2,0.4,21.2,0.4,15.1,0.4,12.2,0.2,15.0,0.3,17.7,0.4,6.7,0.3,12.4,0.2,16.5,0.3,21.1,0.4,4.4,0.2,4.3,0.1,6.0,0.2,7.8,0.3,1.1,0.1,3.7,0.1,5.2,0.2,6.8,0.3,1.0,0.1,51075,233,65176,424,79495,718,30647,271,68880,452,83011,661,97973,918,41766,589,32.9,,,,,,,,,,33.6,,,,,,,,,,,,30.5,
0400000US40,40,Oklahoma,1465951,6457,969588,7423,713308,6686,496363,6770,7.7,0.3,4.8,0.3,1.7,0.2,14.9,0.6,5.7,0.2,3.2,0.2,1.6,0.2,11.3,0.6,12.0,0.3,8.8,0.4,5.8,0.3,19.0,0.7,10.9,0.3,9.6,0.4,7.8,0.4,13.8,0.7,14.8,0.3,14.4,0.4,13.4,0.4,15.5,0.6,18.9,0.4,20.9,0.6,22.3,0.6,14.0,0.6,11.6,0.3,14.1,0.4,16.9,0.6,5.6,0.5,11.2,0.3,14.7,0.4,18.3,0.5,3.5,0.3,3.7,0.2,4.8,0.3,6.2,0.4,1.2,0.2,3.5,0.2,4.7,0.3,6.0,0.3,1.1,0.2,48568,514,60215,509,71282,748,28036,742,66260,676,78169,928,90990,1169,39962,989,36.9,,,,,,,,,,36.9,,,,,,,,,,,,35.1,
